ID,Section 1,City,Country,Section 3 Q , Quote,Section 4
1,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Japan,Tokyo,Give me a short goodbye quote that has to do with Japan,"Adios, Medellin! It's been real.",THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
2,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,India,Delhi,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
3,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Mexico,Ciudad de México (Mexico City),,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
4,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Egypt,Al-Qahirah (Cairo),,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
5,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,China,Beijing,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
6,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Bangladesh,Dhaka,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
7,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Argentina,Buenos Aires,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
8,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Philippines,Manila,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
9,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Democratic Republic of the Congo,Kinshasa,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
10,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Russian Federation,Moskva (Moscow),,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
11,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,France,Paris,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
12,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Colombia,Bogotá,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
13,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Indonesia,Jakarta,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
14,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Peru,Lima,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
15,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Thailand,Krung Thep (Bangkok),,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
16,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Republic of Korea,Seoul,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
17,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,United Kingdom,London,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
18,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Iran (Islamic Republic of),Tehran,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
19,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Angola,Luanda,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
20,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Malaysia,Kuala Lumpur,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
21,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,"China, Hong Kong SAR",Hong Kong,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
22,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Saudi Arabia,Ar-Riyadh (Riyadh),,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
23,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Iraq,Baghdad,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
24,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Chile,Santiago,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
25,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Spain,Madrid,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
26,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Singapore,Singapore,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
27,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Sudan,Al-Khartum (Khartoum),,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
28,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,United States of America,"Washington, D.C.",,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
29,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Côte d'Ivoire,Abidjan,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
30,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Turkey,Ankara,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
31,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Brazil,Brasília,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
32,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,South Africa,Cape Town,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
33,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Ethiopia,Addis Ababa,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
34,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Kenya,Nairobi,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
35,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Viet Nam,Hà Noi,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
36,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Italy,Roma (Rome),,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
37,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Afghanistan,Kabul,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
38,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Cameroon,Yaoundé,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
39,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Germany,Berlin,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
40,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Paraguay,Asunción,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
41,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Dominican Republic,Santo Domingo,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
42,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Greece,Athínai (Athens),,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
43,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Madagascar,Antananarivo,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
44,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Dem. People's Republic of Korea,P'yongyang,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
45,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Kuwait,Al Kuwayt (Kuwait City),,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
46,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Uganda,Kampala,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
47,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Senegal,Dakar,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
48,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Ukraine,Kyiv (Kiev),,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
49,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Venezuela (Bolivarian Republic of),Caracas,,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
50,I'M NELSON NIGEL & THIS IS MY KIDMOTO JOURNEY,Portugal,Lisboa (Lisbon),,,THANK YOU FOR YOUR BUSINESS AND SAFE TRAVELS
